Postulante 1,ORDINARIO,9.227,NO ALCANZÓ VACANTE,FAUA
Postulante 2,ORDINARIO,9.993,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 3,ORDINARIO,8.641,NO ALCANZÓ VACANTE,FAUA
Postulante 4,ORDINARIO,6.109,NO ALCANZÓ VACANTE,FAUA
Postulante 5,ORDINARIO,4.564,NO ALCANZÓ VACANTE,FAUA
Postulante 6,ORDINARIO,8.591,NO ALCANZÓ VACANTE,FAUA
Postulante 7,ORDINARIO,6.349,NO ALCANZÓ VACANTE,FAUA
Postulante 8,ORDINARIO,9.199,NO ALCANZÓ VACANTE,FAUA
Postulante 9,ORDINARIO,4.127,NO ALCANZÓ VACANTE,FAUA
Postulante 10,ORDINARIO,6.886,NO ALCANZÓ VACANTE,FAUA
Postulante 11,ORDINARIO,5.236,NO ALCANZÓ VACANTE,FAUA
Postulante 12,ORDINARIO,4.162,NO ALCANZÓ VACANTE,FAUA
Postulante 13,ORDINARIO,8.030,NO ALCANZÓ VACANTE,FAUA
Postulante 14,ORDINARIO,5.775,NO ALCANZÓ VACANTE,FAUA
Postulante 15,EXTRAORDINARIO 1 - DOS PRIMEROS ALUMNOS,7.259,NO ALCANZÓ VACANTE,FAUA
Postulante 16,ORDINARIO,10.171,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 17,ORDINARIO,9.171,NO ALCANZÓ VACANTE,FAUA
Postulante 18,ORDINARIO,8.494,NO ALCANZÓ VACANTE,FAUA
Postulante 19,ORDINARIO,4.659,NO ALCANZÓ VACANTE,FAUA
Postulante 20,ORDINARIO,6.271,NO ALCANZÓ VACANTE,FAUA
Postulante 21,ORDINARIO,6.065,NO ALCANZÓ VACANTE,FAUA
Postulante 22,ORDINARIO,2.514,NO ALCANZÓ VACANTE,FAUA
Postulante 23,ORDINARIO,5.970,NO ALCANZÓ VACANTE,FAUA
Postulante 24,ORDINARIO,3.578,NO ALCANZÓ VACANTE,FAUA
Postulante 25,ORDINARIO,5.125,NO ALCANZÓ VACANTE,FAUA
Postulante 26,ORDINARIO,3.818,NO ALCANZÓ VACANTE,FAUA
Postulante 27,ORDINARIO,5.268,NO ALCANZÓ VACANTE,FAUA
Postulante 28,ORDINARIO,4.654,NO ALCANZÓ VACANTE,FAUA
Postulante 29,ORDINARIO,6.968,NO ALCANZÓ VACANTE,FAUA
Postulante 30,ORDINARIO,5.643,NO ALCANZÓ VACANTE,FAUA
Postulante 31,ORDINARIO,5.527,NO ALCANZÓ VACANTE,FAUA
Postulante 32,ORDINARIO,11.885,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 33,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 34,ORDINARIO,9.496,NO ALCANZÓ VACANTE,FAUA
Postulante 35,ORDINARIO,6.863,NO ALCANZÓ VACANTE,FAUA
Postulante 36,ORDINARIO,5.314,NO ALCANZÓ VACANTE,FAUA
Postulante 37,ORDINARIO,8.137,NO ALCANZÓ VACANTE,FAUA
Postulante 38,ORDINARIO,6.382,NO ALCANZÓ VACANTE,FAUA
Postulante 39,ORDINARIO,7.357,NO ALCANZÓ VACANTE,FAUA
Postulante 40,ORDINARIO,10.291,NO ALCANZÓ VACANTE,FAUA
Postulante 41,ORDINARIO,8.097,NO ALCANZÓ VACANTE,FAUA
Postulante 42,ORDINARIO,7.551,NO ALCANZÓ VACANTE,FAUA
Postulante 43,ORDINARIO,2.660,NO ALCANZÓ VACANTE,FAUA
Postulante 44,ORDINARIO,11.268,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 45,ORDINARIO,5.668,NO ALCANZÓ VACANTE,FAUA
Postulante 46,ORDINARIO,7.030,NO ALCANZÓ VACANTE,FAUA
Postulante 47,ORDINARIO,2.594,NO ALCANZÓ VACANTE,FAUA
Postulante 48,ORDINARIO,6.163,NO ALCANZÓ VACANTE,FAUA
Postulante 49,ORDINARIO,9.500,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 50,ORDINARIO,2.928,NO ALCANZÓ VACANTE,FAUA
Postulante 51,ORDINARIO,5.700,NO ALCANZÓ VACANTE,FAUA
Postulante 52,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 53,ORDINARIO,3.637,NO ALCANZÓ VACANTE,FAUA
Postulante 54,ORDINARIO,6.065,NO ALCANZÓ VACANTE,FAUA
Postulante 55,ORDINARIO,5.774,NO ALCANZÓ VACANTE,FAUA
Postulante 56,ORDINARIO,8.889,NO ALCANZÓ VACANTE,FAUA
Postulante 57,ORDINARIO,1.281,NO ALCANZÓ VACANTE,FAUA
Postulante 58,ORDINARIO,4.503,NO ALCANZÓ VACANTE,FAUA
Postulante 59,ORDINARIO,10.278,NO ALCANZÓ VACANTE,FAUA
Postulante 60,ORDINARIO,6.656,NO ALCANZÓ VACANTE,FAUA
Postulante 61,ORDINARIO,2.340,NO ALCANZÓ VACANTE,FAUA
Postulante 62,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 63,ORDINARIO,7.883,NO ALCANZÓ VACANTE,FAUA
Postulante 64,ORDINARIO,9.659,NO ALCANZÓ VACANTE,FAUA
Postulante 65,ORDINARIO,7.261,NO ALCANZÓ VACANTE,FAUA
Postulante 66,ORDINARIO,8.004,NO ALCANZÓ VACANTE,FAUA
Postulante 67,ORDINARIO,4.870,NO ALCANZÓ VACANTE,FAUA
Postulante 68,ORDINARIO,5.118,NO ALCANZÓ VACANTE,FAUA
Postulante 69,ORDINARIO,13.291,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 70,ORDINARIO,10.308,NO ALCANZÓ VACANTE,FAUA
Postulante 71,ORDINARIO,5.544,NO ALCANZÓ VACANTE,FAUA
Postulante 72,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 73,ORDINARIO,6.095,NO ALCANZÓ VACANTE,FAUA
Postulante 74,ORDINARIO,6.105,NO ALCANZÓ VACANTE,FAUA
Postulante 75,ORDINARIO,5.021,NO ALCANZÓ VACANTE,FAUA
Postulante 76,ORDINARIO,4.009,NO ALCANZÓ VACANTE,FAUA
Postulante 77,ORDINARIO,4.635,NO ALCANZÓ VACANTE,FAUA
Postulante 78,ORDINARIO,4.880,NO ALCANZÓ VACANTE,FAUA
Postulante 79,ORDINARIO,1.628,NO ALCANZÓ VACANTE,FAUA
Postulante 80,ORDINARIO,6.524,NO ALCANZÓ VACANTE,FAUA
Postulante 81,ORDINARIO,5.141,NO ALCANZÓ VACANTE,FAUA
Postulante 82,ORDINARIO,5.819,NO ALCANZÓ VACANTE,FAUA
Postulante 83,ORDINARIO,7.965,NO ALCANZÓ VACANTE,FAUA
Postulante 84,ORDINARIO,8.792,NO ALCANZÓ VACANTE,FAUA
Postulante 85,ORDINARIO,7.401,NO ALCANZÓ VACANTE,FAUA
Postulante 86,ORDINARIO,8.420,NO ALCANZÓ VACANTE,FAUA
Postulante 87,ORDINARIO,5.225,NO ALCANZÓ VACANTE,FAUA
Postulante 88,ORDINARIO,2.341,NO ALCANZÓ VACANTE,FAUA
Postulante 89,ORDINARIO,5.769,NO ALCANZÓ VACANTE,FAUA
